id	Group	p_value	p.adjust	convert.median	convert.mean	group1	length1	median1	mean1	group2	length2	median2	mean2	non0.length1	non0.length2
29	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	B1_B0	0.18144920772142	1	0	1.4127862745098e-06	B1	51	0	4.22147058823529e-06	B0	51	0	5.6342568627451e-06	1	3
30	GLUCARDEG-PWY: D-glucarate degradation I	B1_B0	1	1	0	2.50925490196078e-06	B1	51	0	0	B0	51	0	2.50925490196078e-06	1	0
31	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	B1_B0	1	1	0	2.50135294117647e-06	B1	51	0	0	B0	51	0	2.50135294117647e-06	1	0
32	GLUCONEO-PWY: gluconeogenesis I	B1_B0	0.00915168885265007	0.411825998369253	0	2.3287831372549e-05	B1	51	0	1.60576078431373e-06	B0	51	0	2.48935921568627e-05	1	9
33	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	B1_B0	0.583882420770365	1	0	1.20402352941176e-06	B1	51	0	2.212e-06	B0	51	0	3.41602352941176e-06	1	3
34	GLUTORN-PWY: L-ornithine biosynthesis	B1_B0	0.371093369522698	1	0	6.03694509803922e-06	B1	51	0	0	B0	51	0	6.03694509803922e-06	2	0
35	GLYCOCAT-PWY: glycogen degradation I (bacterial)	B1_B0	0.789268026134281	1	0	-3.45273137254902e-07	B1	51	0	1.37436470588235e-06	B0	51	0	1.02909156862745e-06	2	2
36	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	B1_B0	0.371093369522698	1	0	1.24107764705882e-06	B1	51	0	0	B0	51	0	1.24107764705882e-06	2	0
37	GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	B1_B0	1	1	0	5.76264705882353e-06	B1	51	0	0	B0	51	0	5.76264705882353e-06	1	0
38	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	B1_B0	0.133614402537716	1	0	3.58792960784314e-05	B1	51	0	0.000157487207843137	B0	51	0	0.000193366503921569	17	21
39	HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	B1_B0	1	1	0	3.6093137254902e-06	B1	51	0	0	B0	51	0	3.6093137254902e-06	1	0
40	HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	B1_B0	1	1	0	-3.85303921568627e-06	B1	51	0	3.85303921568627e-06	B0	51	0	0	1	0
41	HISDEG-PWY: L-histidine degradation I	B1_B0	0.208412803684149	1	0	8.61886274509804e-06	B1	51	0	2.48396274509804e-06	B0	51	0	1.11028254901961e-05	2	6
42	HISTSYN-PWY: L-histidine biosynthesis	B1_B0	0.371093369522698	1	0	5.78644901960784e-06	B1	51	0	0	B0	51	0	5.78644901960784e-06	2	0
43	HOMOSER-METSYN-PWY: L-methionine biosynthesis I	B1_B0	0.371093369522698	1	0	5.36628431372549e-06	B1	51	0	0	B0	51	0	5.36628431372549e-06	2	0
44	HSERMETANA-PWY: L-methionine biosynthesis III	B1_B0	0.453388932626267	1	0	1.86577901960784e-05	B1	51	0	3.43946705882353e-05	B0	51	0	5.30524607843137e-05	9	11
45	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	B1_B0	0.230024245060274	1	0	1.41930760784314e-05	B1	51	0	1.49583803921569e-05	B0	51	0	2.91514564705882e-05	6	9
46	KETOGLUCONMET-PWY: ketogluconate metabolism	B1_B0	1	1	0	1.3752e-06	B1	51	0	0	B0	51	0	1.3752e-06	1	0
47	LACTOSECAT-PWY: lactose and galactose degradation I	B1_B0	0.44896428043818	1	0	-1.9173905882353e-05	B1	51	0	0.000419729431372549	B0	51	0	0.000400555525490196	21	21
48	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	B1_B0	1	1	0	6.52290196078431e-06	B1	51	0	0	B0	51	0	6.52290196078431e-06	1	0
49	METSYN-PWY: L-homoserine and L-methionine biosynthesis	B1_B0	0.371093369522698	1	0	7.20036078431373e-06	B1	51	0	0	B0	51	0	7.20036078431373e-06	2	0
50	NAD-BIOSYNTHESIS-II: NAD salvage pathway II	B1_B0	1	1	0	3.00198039215686e-06	B1	51	0	0	B0	51	0	3.00198039215686e-06	1	0
51	NAGLIPASYN-PWY: lipid IVA biosynthesis	B1_B0	1	1	0	2.34256862745098e-06	B1	51	0	0	B0	51	0	2.34256862745098e-06	1	0
52	NONMEVIPP-PWY: methylerythritol phosphate pathway I	B1_B0	0.529368106184798	1	0	1.62857078431373e-05	B1	51	0	3.00543137254902e-05	B0	51	0	4.63400215686275e-05	3	6
53	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	B1_B0	0.649455245473357	1	0	1.68216588235294e-05	B1	51	0	5.89843156862745e-05	B0	51	0	7.58059745098039e-05	17	12
54	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	B1_B0	0.938175553294234	1	0	1.87081176470589e-06	B1	51	0	8.29662745098039e-05	B0	51	0	8.48370862745098e-05	10	11
55	P122-PWY: heterolactic fermentation	B1_B0	1	1	0	5.03913725490196e-06	B1	51	0	0	B0	51	0	5.03913725490196e-06	1	0
56	P124-PWY: Bifidobacterium shunt	B1_B0	0.84451926747294	1	0	-1.61412666666667e-05	B1	51	0	4.71857392156863e-05	B0	51	0	3.10444725490196e-05	7	8
57	P125-PWY: superpathway of (R,R)-butanediol biosynthesis	B1_B0	1	1	0	-3.86270588235294e-07	B1	51	0	3.86270588235294e-07	B0	51	0	0	1	0
58	P164-PWY: purine nucleobases degradation I (anaerobic)	B1_B0	0.759765825978067	1	0	4.82251960784314e-06	B1	51	0	7.85166666666667e-06	B0	51	0	1.26741862745098e-05	4	8
59	P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	B1_B0	1	1	0	5.52137254901961e-06	B1	51	0	0	B0	51	0	5.52137254901961e-06	1	0
60	P42-PWY: incomplete reductive TCA cycle	B1_B0	1	1	0	1.48082352941176e-06	B1	51	0	0	B0	51	0	1.48082352941176e-06	1	0
61	P441-PWY: superpathway of N-acetylneuraminate degradation	B1_B0	1	1	0	1.42306274509804e-06	B1	51	0	0	B0	51	0	1.42306274509804e-06	1	0
62	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	B1_B0	0.855132140584706	1	0	-4.13301960784314e-07	B1	51	0	2.27270196078431e-06	B0	51	0	1.8594e-06	2	2
63	PANTO-PWY: phosphopantothenate biosynthesis I	B1_B0	0.726767806199101	1	0	1.98159803921569e-05	B1	51	0	4.2914937254902e-05	B0	51	0	6.27309176470588e-05	8	8
64	PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	B1_B0	0.504903176723131	1	0	2.55495352941176e-05	B1	51	0	5.12366901960784e-05	B0	51	0	7.67862254901961e-05	7	8
65	PENTOSE-P-PWY: pentose phosphate pathway	B1_B0	1	1	0	6.17613725490196e-06	B1	51	0	0	B0	51	0	6.17613725490196e-06	1	0
66	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	B1_B0	0.316508711379909	1	0	4.85955607843137e-05	B1	51	0	0.000156371411764706	B0	51	0	0.00020496697254902	10	14
67	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	B1_B0	0.789268026134281	1	0	1.0193231372549e-05	B1	51	0	1.5451431372549e-06	B0	51	0	1.17383745098039e-05	1	2
68	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	B1_B0	0.789268026134281	1	0	1.20364117647059e-06	B1	51	0	1.03265098039216e-06	B0	51	0	2.23629215686274e-06	1	2
69	PPGPPMET-PWY: ppGpp biosynthesis	B1_B0	0.177529852412153	1	0	7.7295668627451e-06	B1	51	0	1.93177647058824e-06	B0	51	0	9.66134333333333e-06	1	5
70	PWY-101: photosynthesis light reactions	B1_B0	1	1	0	1.36963921568627e-07	B1	51	0	0	B0	51	0	1.36963921568627e-07	1	0
71	PWY-1042: glycolysis IV (plant cytosol)	B1_B0	0.238319611386841	1	6.0774e-05	4.29960715686275e-05	B1	51	0.000118872	0.000239379569607843	B0	51	0.000179646	0.000282375641176471	30	33
72	PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	B1_B0	0.833935414088552	1	0	2.0874e-06	B1	51	0	2.96520980392157e-06	B0	51	0	5.05260980392157e-06	4	5
73	PWY-2941: L-lysine biosynthesis II	B1_B0	0.62406453246517	1	0	-7.79736078431373e-06	B1	51	0	2.13449764705882e-05	B0	51	0	1.35476156862745e-05	5	6
74	PWY-2942: L-lysine biosynthesis III	B1_B0	0.944284670241126	1	0	1.40214137254902e-05	B1	51	0	4.5151968627451e-05	B0	51	0	5.91733823529412e-05	8	9
75	PWY-3001: superpathway of L-isoleucine biosynthesis I	B1_B0	0.0972010883062347	1	0	1.34384764705882e-05	B1	51	0	1.15188784313725e-05	B0	51	0	2.49573549019608e-05	5	7
76	PWY-3781: aerobic respiration I (cytochrome c)	B1_B0	0.18144920772142	1	0	7.22635294117647e-06	B1	51	0	0	B0	51	0	7.22635294117647e-06	3	0
77	PWY-3841: folate transformations II	B1_B0	0.495487514828995	1	-5.6417e-05	-1.81999156862745e-05	B1	51	0.000433725	0.000592357578431373	B0	51	0.000377308	0.000574157662745098	35	35
78	PWY-4041: &gamma;-glutamyl cycle	B1_B0	0.350528908982333	1	0	5.98817745098039e-06	B1	51	0	6.49807647058823e-06	B0	51	0	1.24862539215686e-05	5	9
79	PWY-4981: L-proline biosynthesis II (from arginine)	B1_B0	1	1	0	2.0028431372549e-07	B1	51	0	8.00494117647059e-07	B0	51	0	1.00077843137255e-06	1	2
80	PWY-5097: L-lysine biosynthesis VI	B1_B0	1	1	0	-3.30980392156862e-07	B1	51	0	1.37259725490196e-05	B0	51	0	1.33949921568627e-05	3	4
81	PWY-5100: pyruvate fermentation to acetate and lactate II	B1_B0	0.583882420770365	1	0	4.4911137254902e-06	B1	51	0	4.4404862745098e-06	B0	51	0	8.9316e-06	2	3
82	PWY-5103: L-isoleucine biosynthesis III	B1_B0	0.41849223344682	1	0	3.90037058823529e-06	B1	51	0	4.32405882352941e-06	B0	51	0	8.22442941176471e-06	1	5
83	PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	B1_B0	1	1	0	4.66692156862745e-07	B1	51	0	0	B0	51	0	4.66692156862745e-07	1	0
84	PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	B1_B0	1	1	0	2.17023529411765e-06	B1	51	0	0	B0	51	0	2.17023529411765e-06	1	0
85	PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	B1_B0	0.18144920772142	1	0	4.15861176470588e-06	B1	51	0	0	B0	51	0	4.15861176470588e-06	3	0
86	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	B1_B0	1	1	0	1.70955490196078e-07	B1	51	0	0	B0	51	0	1.70955490196078e-07	1	0
87	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	B1_B0	0.0346105575157073	1	0	1.2977231372549e-05	B1	51	0	3.09056078431373e-06	B0	51	0	1.60677921568627e-05	2	7
88	PWY-5189: tetrapyrrole biosynthesis II (from glycine)	B1_B0	0.371093369522698	1	0	1.06045882352941e-06	B1	51	0	0	B0	51	0	1.06045882352941e-06	2	0
89	PWY-5265: peptidoglycan biosynthesis II (staphylococci)	B1_B0	0.572081696065726	1	0	-1.97113529411765e-05	B1	51	0	0.00013059568627451	B0	51	0	0.000110884333333333	12	9
90	PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	B1_B0	1	1	0	5.66674509803922e-06	B1	51	0	0	B0	51	0	5.66674509803922e-06	1	0
91	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	B1_B0	0.371093369522698	1	0	6.93067058823529e-06	B1	51	0	0	B0	51	0	6.93067058823529e-06	2	0
92	PWY-5384: sucrose degradation IV (sucrose phosphorylase)	B1_B0	0.635941334000006	1	0	-2.58687137254902e-05	B1	51	0	6.89643431372549e-05	B0	51	0	4.30956294117647e-05	13	14
93	PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	B1_B0	1	1	0	7.69525490196079e-07	B1	51	0	0	B0	51	0	7.69525490196079e-07	1	0
94	PWY-5484: glycolysis II (from fructose 6-phosphate)	B1_B0	0.289587424426888	1	0	1.99329137254902e-05	B1	51	0	2.18302745098039e-05	B0	51	0	4.17631882352941e-05	5	9
95	PWY-5659: GDP-mannose biosynthesis	B1_B0	0.271898710819648	1	0	1.16371941176471e-05	B1	51	0	4.68657058823529e-06	B0	51	0	1.63237647058824e-05	4	5
96	PWY-5667: CDP-diacylglycerol biosynthesis I	B1_B0	0.789268026134281	1	0	9.61275490196079e-06	B1	51	0	1.26332745098039e-06	B0	51	0	1.08760823529412e-05	1	2
97	PWY-5686: UMP biosynthesis	B1_B0	0.990415642614797	1	0	1.81550352941176e-05	B1	51	0	0.000308784652941176	B0	51	0	0.000326939688235294	21	19
98	PWY-5690: TCA cycle II (plants and fungi)	B1_B0	0.371093369522698	1	0	2.1619137254902e-06	B1	51	0	0	B0	51	0	2.1619137254902e-06	2	0
99	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	B1_B0	0.201242620957724	1	0	-1.02638137254902e-05	B1	51	0	1.09882470588235e-05	B0	51	0	7.24433333333333e-07	3	1
100	PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	B1_B0	1	1	0	4.08966666666667e-07	B1	51	0	0	B0	51	0	4.08966666666667e-07	1	0
101	PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	B1_B0	1	1	0	4.08966666666667e-07	B1	51	0	0	B0	51	0	4.08966666666667e-07	1	0
102	PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	B1_B0	1	1	0	4.08966666666667e-07	B1	51	0	0	B0	51	0	4.08966666666667e-07	1	0
103	PWY-5870: ubiquinol-8 biosynthesis (eukaryotic)	B1_B0	1	1	0	2.40290196078431e-07	B1	51	0	0	B0	51	0	2.40290196078431e-07	1	0
104	PWY-5871: ubiquinol-9 biosynthesis (eukaryotic)	B1_B0	1	1	0	1.00562745098039e-07	B1	51	0	3.15156862745098e-07	B0	51	0	4.15719607843137e-07	1	2
105	PWY-5873: ubiquinol-7 biosynthesis (eukaryotic)	B1_B0	1	1	0	1.00562745098039e-07	B1	51	0	3.15156862745098e-07	B0	51	0	4.15719607843137e-07	1	2
106	PWY-5913: TCA cycle VI (obligate autotrophs)	B1_B0	0.0190588916017305	0.85765012207787	0	1.94043921568627e-05	B1	51	0	1.16892745098039e-05	B0	51	0	3.10936666666667e-05	2	9
107	PWY-5918: superpathay of heme biosynthesis from glutamate	B1_B0	1	1	0	4.28319607843137e-06	B1	51	0	0	B0	51	0	4.28319607843137e-06	1	0
108	PWY-5920: superpathway of heme biosynthesis from glycine	B1_B0	1	1	0	8.16750980392157e-07	B1	51	0	0	B0	51	0	8.16750980392157e-07	1	0
109	PWY-5971: palmitate biosynthesis II (bacteria and plants)	B1_B0	0.371093369522698	1	0	4.83527647058824e-06	B1	51	0	0	B0	51	0	4.83527647058824e-06	2	0
110	PWY-5973: cis-vaccenate biosynthesis	B1_B0	0.446872820710831	1	0	4.94188431372549e-06	B1	51	0	3.94108823529412e-06	B0	51	0	8.88297254901961e-06	3	5
111	PWY-5989: stearate biosynthesis II (bacteria and plants)	B1_B0	0.371093369522698	1	0	4.8273431372549e-06	B1	51	0	0	B0	51	0	4.8273431372549e-06	2	0
112	PWY-6113: superpathway of mycolate biosynthesis	B1_B0	0.371093369522698	1	0	4.60037450980392e-06	B1	51	0	0	B0	51	0	4.60037450980392e-06	2	0
113	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	B1_B0	0.475076124794557	1	0	-1.77256901960784e-05	B1	51	0	0.000134207866666667	B0	51	0	0.000116482176470588	15	15
114	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	B1_B0	0.63733471669376	1	0	-1.53492231372549e-05	B1	51	0	0.000154263041176471	B0	51	0	0.000138913818039216	16	17
115	PWY-6123: inosine-5'-phosphate biosynthesis I	B1_B0	0.49352537749572	1	0	-2.7696437254902e-05	B1	51	0	0.00023016267254902	B0	51	0	0.000202466235294118	20	21
116	PWY-6124: inosine-5'-phosphate biosynthesis II	B1_B0	1	1	0	-1.70428235294118e-06	B1	51	0	2.73345098039216e-06	B0	51	0	1.02916862745098e-06	1	2
117	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	B1_B0	0.678664874808455	1	0	2.52119058823529e-05	B1	51	0	7.05081254901961e-05	B0	51	0	9.5720031372549e-05	18	17
118	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	B1_B0	0.144339193370849	1	0	4.5173568627451e-05	B1	51	0	5.93805588235294e-05	B0	51	0	0.00010455412745098	14	15
119	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	B1_B0	1	1	0	6.61260784313725e-06	B1	51	0	0	B0	51	0	6.61260784313725e-06	1	0
120	PWY-6151: S-adenosyl-L-methionine cycle I	B1_B0	0.234221415590627	1	-7.6755e-05	-5.6610843137255e-06	B1	51	0.000510043	0.000659413143137255	B0	51	0.000433288	0.000653752058823529	37	34
121	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	B1_B0	0.422175673993565	1	0	3.43417352941177e-05	B1	51	0	8.04139333333333e-05	B0	51	0	0.000114755668627451	14	14
122	PWY-6168: flavin biosynthesis III (fungi)	B1_B0	1	1	0	2.70845098039216e-06	B1	51	0	0	B0	51	0	2.70845098039216e-06	1	0
123	PWY-621: sucrose degradation III (sucrose invertase)	B1_B0	0.346446713700384	1	0	-2.16925088235294e-05	B1	51	0	7.98540207843137e-05	B0	51	0	5.81615119607843e-05	15	20
124	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	B1_B0	0.63733471669376	1	0	-1.53492231372549e-05	B1	51	0	0.000154263041176471	B0	51	0	0.000138913818039216	16	17
125	PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	B1_B0	0.789268026134281	1	0	2.98490588235294e-06	B1	51	0	1.31482549019608e-06	B0	51	0	4.29973137254902e-06	1	2
126	PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	B1_B0	1	1	0	3.73503921568627e-06	B1	51	0	0	B0	51	0	3.73503921568627e-06	1	0
127	PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	B1_B0	1	1	0	3.47749019607843e-06	B1	51	0	0	B0	51	0	3.47749019607843e-06	1	0
128	PWY-6305: putrescine biosynthesis IV	B1_B0	1	1	0	2.40542941176471e-06	B1	51	0	2.37712941176471e-06	B0	51	0	4.78255882352941e-06	3	5
129	PWY-6313: serotonin degradation	B1_B0	1	1	0	-5.81354901960784e-07	B1	51	0	5.81354901960784e-07	B0	51	0	0	1	0
130	PWY-6317: galactose degradation I (Leloir pathway)	B1_B0	0.626269135569768	1	0	2.62933725490196e-06	B1	51	0	7.1440737254902e-05	B0	51	0	7.40700745098039e-05	16	14
131	PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	B1_B0	0.313300386857646	1	0	4.30127862745098e-05	B1	51	0	0.000117279392156863	B0	51	0	0.000160292178431373	9	12
132	PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	B1_B0	0.343759999660369	1	0	-4.6918431372549e-05	B1	51	0	0.000264731784313725	B0	51	0	0.000217813352941176	16	11
133	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	B1_B0	0.383750269517673	1	0	4.83848980392157e-05	B1	51	0	0.000144302137254902	B0	51	0	0.000192687035294118	10	14
134	PWY-6519: 8-amino-7-oxononanoate biosynthesis I	B1_B0	1	1	0	2.72470588235294e-06	B1	51	0	0	B0	51	0	2.72470588235294e-06	1	0
135	PWY-6527: stachyose degradation	B1_B0	0.271332121892765	1	0	-2.44495764705882e-05	B1	51	0	0.000241970968627451	B0	51	0	0.000217521392156863	21	21
136	PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	B1_B0	0.18144920772142	1	0	-3.68984509803922e-06	B1	51	0	5.07397058823529e-06	B0	51	0	1.38412549019608e-06	3	1
137	PWY-6549: L-glutamine biosynthesis III	B1_B0	1	1	0	2.7188431372549e-07	B1	51	0	0	B0	51	0	2.7188431372549e-07	1	0
138	PWY-6595: superpathway of guanosine nucleotides degradation (plants)	B1_B0	1	1	0	-2.62507843137255e-06	B1	51	0	2.62507843137255e-06	B0	51	0	0	1	0
139	PWY-6606: guanosine nucleotides degradation II	B1_B0	1	1	0	-2.31709803921569e-06	B1	51	0	2.31709803921569e-06	B0	51	0	0	1	0
140	PWY-6608: guanosine nucleotides degradation III	B1_B0	0.422678074170635	1	0	-3.26046862745098e-06	B1	51	0	3.83199019607843e-06	B0	51	0	5.71521568627451e-07	2	1
141	PWY-6609: adenine and adenosine salvage III	B1_B0	1	1	0	1.18758823529412e-06	B1	51	0	2.10124745098039e-05	B0	51	0	2.2200062745098e-05	6	5
142	PWY-6700: queuosine biosynthesis	B1_B0	0.540817904242618	1	0	8.83933529411765e-06	B1	51	0	1.85329058823529e-05	B0	51	0	2.73722411764706e-05	6	7
143	PWY-6703: preQ0 biosynthesis	B1_B0	0.371093369522698	1	0	3.9054568627451e-06	B1	51	0	0	B0	51	0	3.9054568627451e-06	2	0
144	PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	B1_B0	1	1	0	4.08966666666667e-07	B1	51	0	0	B0	51	0	4.08966666666667e-07	1	0
145	PWY-6737: starch degradation V	B1_B0	0.871745706248599	1	0	1.04185019607843e-05	B1	51	0	0.000189654949019608	B0	51	0	0.000200073450980392	19	17
146	PWY-6803: phosphatidylcholine acyl editing	B1_B0	0.100348246462291	1	0	1.82927564705882e-06	B1	51	0	0	B0	51	0	1.82927564705882e-06	4	0
147	PWY-6892: thiazole biosynthesis I (E. coli)	B1_B0	0.422678074170635	1	0	1.57950784313725e-06	B1	51	0	1.44521568627451e-07	B0	51	0	1.72402941176471e-06	1	2
148	PWY-6897: thiamin salvage II	B1_B0	0.201242620957724	1	0	7.78972941176471e-06	B1	51	0	1.29417647058824e-06	B0	51	0	9.08390588235294e-06	1	4
